Date,Price,Open,High,Low,Vol.,Change %
4-Apr-08,72.36,72.585,72.64,72.095,2.62K,-0.17%
3-Apr-08,72.485,72.575,73.16,72.47,2.60K,-0.25%
2-Apr-08,72.67,72.86,73.16,72.52,4.52K,-0.40%
1-Apr-08,72.965,72.23,73.13,72.13,6.51K,1.11%
31-Mar-08,72.165,72.12,72.25,71.7,5.49K,0.08%
28-Mar-08,72.105,71.92,72.22,71.88,1.33K,0.09%
27-Mar-08,72.04,72.085,72.23,71.75,3.57K,0.22%
26-Mar-08,71.88,72.665,72.705,71.75,6.46K,-1.11%
25-Mar-08,72.69,73.325,73.385,72.47,4.70K,-1.01%
24-Mar-08,73.43,73.35,73.67,73.265,5.50K,0.27%
20-Mar-08,73.23,72.5,73.5,72.46,5.28K,1.65%
19-Mar-08,72.04,72.345,72.735,71.7,4.91K,0.00%
18-Mar-08,72.04,71.92,72.59,71.575,4.93K,1.03%
17-Mar-08,71.304,71.22,71.48,70.805,2.60K,-0.52%
14-Mar-08,71.675,72.01,72.26,71.59,3.00K,-0.56%
13-Mar-08,72.08,72.34,72.36,71.805,20.99K,-0.48%
12-Mar-08,72.43,73.16,73.16,72.235,11.17K,-1.17%
11-Mar-08,73.29,73,73.41,72.485,12.50K,0.37%
10-Mar-08,73.02,72.86,73.13,72.815,12.28K,-0.03%
7-Mar-08,73.045,72.985,73.22,72.455,13.88K,0.01%
6-Mar-08,73.04,73.47,73.485,72.875,7.47K,-0.61%
5-Mar-08,73.49,73.73,74,73.38,6.05K,-0.28%
4-Mar-08,73.695,73.68,73.81,73.51,4.30K,-0.05%
3-Mar-08,73.735,73.65,73.9,73.4,3.37K,-0.02%
29-Feb-08,73.75,73.875,73.935,73.63,2.51K,-0.03%
28-Feb-08,73.775,74.27,74.41,73.69,4.28K,-0.66%
27-Feb-08,74.265,74.74,74.775,74.125,5.11K,-0.70%
26-Feb-08,74.79,75.555,75.765,74.4,6.50K,-1.05%
25-Feb-08,75.585,75.59,75.74,75.505,1.26K,0.01%
22-Feb-08,75.575,75.695,75.785,75.435,3.90K,-0.10%
