Date,Price,Open,High,Low,Vol.,Change %
20-Aug-13,"50,459","51,145","51,198","49,167",32.41K,-1.48%
19-Aug-13,"51,215","51,000","51,486","50,250",24.89K,1.09%
17-Aug-13,"50,662","50,900","51,198","50,539",2.50K,-0.44%
16-Aug-13,"50,887","46,673","51,035","46,673",33.78K,9.26%
14-Aug-13,"46,573","46,247","46,690","45,815",27.44K,0.66%
13-Aug-13,"46,268","45,999","47,166","45,267",46.81K,0.89%
12-Aug-13,"45,861","42,820","46,188","42,820",51.83K,7.41%
10-Aug-13,"42,698","42,699","42,765","42,630",1.32K,0.29%
9-Aug-13,"42,576","42,296","42,780","42,066",16.44K,0.81%
8-Aug-13,"42,235","41,650","42,408","41,505",32.33K,1.73%
7-Aug-13,"41,517","41,400","41,580","40,765",29.92K,-0.04%
6-Aug-13,"41,533","41,550","42,149","41,460",23.28K,-0.54%
5-Aug-13,"41,760","42,061","42,223","41,454",19.26K,-0.50%
3-Aug-13,"41,969","42,000","42,035","41,881",0.88K,-0.15%
2-Aug-13,"42,034","41,223","42,600","40,661",41.51K,1.51%
1-Aug-13,"41,407","41,316","41,799","41,200",24.59K,-0.27%
31-Jul-13,"41,520","41,858","42,287","40,966",32.96K,-0.34%
30-Jul-13,"41,663","41,048","41,860","40,651",28.45K,1.26%
29-Jul-13,"41,146","40,881","41,637","40,726",30.08K,0.23%
27-Jul-13,"41,050","40,921","41,238","40,921",1.62K,0.70%
26-Jul-13,"40,763","41,327","41,460","40,502",29.85K,-1.63%
25-Jul-13,"41,438","41,452","41,542","40,661",32.10K,0.22%
24-Jul-13,"41,346","41,854","42,089","41,281",26.93K,-1.21%
23-Jul-13,"41,854","42,061","42,222","41,711",20.65K,-0.90%
22-Jul-13,"42,234","40,449","42,444","40,449",40.24K,4.66%
20-Jul-13,"40,354","40,399","40,429","40,312",0.89K,0.05%
19-Jul-13,"40,332","40,650","40,740","40,143",20.24K,-0.35%
18-Jul-13,"40,473","40,217","40,600","40,050",29.64K,0.79%
17-Jul-13,"40,154","41,150","41,598","39,931",43.14K,-2.11%
